Time,Total Energy
12/11/2019 18:25:27,370.90
12/11/2019 18:28:43,370.90
12/11/2019 18:31:57,370.90
12/11/2019 18:35:13,370.90
12/11/2019 18:38:28,370.90
12/11/2019 18:41:44,370.90
12/11/2019 18:44:59,370.90
12/11/2019 18:48:15,370.90
12/11/2019 18:51:30,370.90
12/11/2019 18:54:47,370.90
12/11/2019 18:58:03,370.90
12/11/2019 19:06:08,370.90
,
Time,Total Energy
12/11/2019 5:45:13,354.00
12/11/2019 5:48:28,354.00
12/11/2019 5:51:44,354.00
12/11/2019 5:54:58,354.00
12/11/2019 5:58:14,354.00
12/11/2019 6:01:30,354.00
12/11/2019 6:04:45,354.00
12/11/2019 6:08:01,354.00
12/11/2019 6:11:15,354.00
12/11/2019 6:14:31,354.00
12/11/2019 6:17:46,354.00
12/11/2019 6:21:36,354.00
12/11/2019 6:24:52,354.00
12/11/2019 6:28:08,354.00
12/11/2019 6:31:24,354.00
12/11/2019 6:34:39,354.00
12/11/2019 6:37:55,354.00
12/11/2019 6:41:16,354.00
12/11/2019 6:44:32,354.00
12/11/2019 6:51:04,354.10
12/11/2019 6:54:20,354.10
12/11/2019 6:57:35,354.10
12/11/2019 7:00:52,354.10
12/11/2019 7:04:06,354.10
12/11/2019 7:07:23,354.10
12/11/2019 7:10:39,354.10
12/11/2019 7:13:58,354.10
12/11/2019 7:17:14,354.10
12/11/2019 7:20:29,354.10
12/11/2019 7:23:44,354.10
12/11/2019 7:26:59,354.10
12/11/2019 7:30:15,354.10
12/11/2019 7:33:32,354.10
12/11/2019 7:36:48,354.10
12/11/2019 7:40:03,354.10
12/11/2019 7:43:18,354.10
12/11/2019 7:46:34,354.10
12/11/2019 7:49:49,354.10
12/11/2019 7:53:05,354.10
12/11/2019 7:56:20,354.10
12/11/2019 7:59:35,354.10
12/11/2019 8:02:51,354.10
12/11/2019 8:06:06,354.10
12/11/2019 8:09:23,354.10
12/11/2019 8:15:54,354.20
12/11/2019 8:19:12,354.20
12/11/2019 8:22:29,354.20
12/11/2019 8:25:46,354.20
12/11/2019 8:29:02,354.20
12/11/2019 8:32:18,354.20
12/11/2019 8:35:35,354.20
12/11/2019 8:38:51,354.20
12/11/2019 8:42:06,354.20
12/11/2019 8:45:22,354.20
12/11/2019 8:48:39,354.20
12/11/2019 8:51:54,354.20
12/11/2019 8:55:09,354.20
12/11/2019 9:01:40,354.30
12/11/2019 9:04:55,354.30
12/11/2019 9:08:11,354.30
12/11/2019 9:11:27,354.30
12/11/2019 9:14:41,354.30
12/11/2019 9:17:57,354.30
12/11/2019 9:21:12,354.30
12/11/2019 9:24:29,354.30
12/11/2019 9:27:44,354.30
12/11/2019 9:34:15,354.40
12/11/2019 9:37:32,354.40
12/11/2019 9:40:49,354.40
12/11/2019 9:44:04,354.40
12/11/2019 9:47:22,354.40
12/11/2019 9:50:37,354.40
12/11/2019 9:53:54,354.40
12/11/2019 9:57:10,354.40
12/11/2019 10:00:26,354.40
12/11/2019 10:06:57,354.50
12/11/2019 10:10:18,354.50
12/11/2019 10:13:55,354.50
12/11/2019 10:17:21,354.50
12/11/2019 10:21:08,354.50
12/11/2019 10:24:27,354.50
12/11/2019 10:31:09,354.60
12/11/2019 10:34:26,354.60
12/11/2019 10:37:42,354.60
12/11/2019 10:40:57,354.60
12/11/2019 10:44:14,354.60
12/11/2019 10:47:31,354.60
12/11/2019 10:54:04,354.70
12/11/2019 10:57:20,354.70
12/11/2019 11:00:36,354.70
12/11/2019 11:03:53,354.70
12/11/2019 11:07:10,354.70
12/11/2019 11:10:25,354.70
12/11/2019 11:13:41,354.70
12/11/2019 11:20:13,354.80
12/11/2019 11:23:32,354.80
12/11/2019 11:26:48,354.80
12/11/2019 11:30:03,354.80
12/11/2019 11:33:21,354.80
12/11/2019 11:36:37,354.80
12/11/2019 11:39:54,354.80
12/11/2019 11:46:26,354.90
12/11/2019 11:49:45,354.90
12/11/2019 11:53:01,354.90
12/11/2019 11:56:16,354.90
12/11/2019 11:59:32,354.90
12/11/2019 12:03:30,354.90
12/11/2019 12:10:02,355.00
12/11/2019 12:13:17,355.00
12/11/2019 12:16:34,355.00
12/11/2019 12:19:53,355.00
12/11/2019 12:23:08,355.00
12/11/2019 12:29:40,355.10
12/11/2019 12:32:56,355.10
12/11/2019 12:36:11,355.10
12/11/2019 12:39:29,355.10
12/11/2019 12:42:45,355.10
12/11/2019 12:46:04,355.10
12/11/2019 12:49:22,355.10
12/11/2019 12:55:53,355.20
12/11/2019 12:59:11,355.20
12/11/2019 13:02:29,355.20
12/11/2019 13:05:45,355.20
12/11/2019 13:09:03,355.20
12/11/2019 13:12:19,355.20
12/11/2019 13:15:38,355.20
12/11/2019 13:22:11,355.30
12/11/2019 13:25:31,355.30
12/11/2019 13:28:52,355.30
12/11/2019 13:32:10,355.30
12/11/2019 13:35:26,355.30
12/11/2019 13:38:45,355.30
12/11/2019 13:45:21,355.40
12/11/2019 13:48:38,355.40
12/11/2019 13:51:54,355.40
12/11/2019 13:55:45,355.40
12/11/2019 13:59:14,355.40
12/11/2019 14:02:58,355.40
12/11/2019 14:11:32,355.50
12/11/2019 14:14:48,355.50
12/11/2019 14:18:08,355.50
12/11/2019 14:21:25,355.50
12/11/2019 14:24:40,355.50
12/11/2019 14:27:59,355.50
12/11/2019 14:34:31,355.60
12/11/2019 14:37:47,355.60
12/11/2019 14:41:04,355.60
12/11/2019 14:44:22,355.60
12/11/2019 14:47:41,355.60
12/11/2019 14:50:57,355.60
12/11/2019 14:54:12,355.60
12/11/2019 14:57:28,355.60
12/11/2019 15:00:43,355.60
12/11/2019 15:07:16,355.70
12/11/2019 15:10:31,355.70
12/11/2019 15:13:48,355.70
12/11/2019 15:17:03,355.70
12/11/2019 15:20:22,355.70
12/11/2019 15:23:38,355.70
12/11/2019 15:26:57,355.70
